number,draw_date,variable,frequency
60,2023-01-23,num_5,50.0
61,2023-01-16,num_5,50.0
62,2023-01-02,num_5,50.0
63,2022-10-03,num_5,50.0
64,2023-01-21,num_5,50.0
65,2022-08-27,num_5,50.0
66,2023-02-08,num_5,50.0
67,2023-01-07,num_5,50.0
68,2023-01-04,num_5,50.0
69,2023-02-06,num_5,50.0
